"name","labels"
"LBDTC","""Date/Time of Specimen Collection"""
"LBDY","""Study Day of Specimen Collection"""
"LBELTM","""Planned Elapsed Time from Time Point Ref"""
"LBFAST","""Fasting Status"""
"LBLOINC","""LOINC Code"""
"LBMETHOD","""Method of Test or Examination"""
"LBNAM","""Vendor Name"""
"LBNRIND","""Reference Range Indicator"""
"LBORNRHI","""Reference Range Upper Limit in Orig Unit"""
"LBORNRLO","""Reference Range Lower Limit in Orig Unit"""
"LBORRES","""Result or Finding in Original Units"""
"LBORRESU","""Original Units"""
"LBREASND","""Reason Test Not Done"""
"LBREFID","""Specimen ID"""
"LBRFTDTC","""Date/Time of Reference Time Point"""
"LBSEQ","""Sequence Number"""
"LBSMPLID","""Alternate Sample Identifier"""
"LBSPCCND","""Specimen Condition"""
"LBSPEC","""Specimen Type"""
"LBSPID","""Sponsor-Defined Identifier"""
"LBSTAT","""Completion Status"""
"LBSTNRHI","""Reference Range Upper Limit-Std Units"""
"LBSTNRLO","""Reference Range Lower Limit-Std Units"""
"LBSTRESC","""Character Result/Finding in Std Format"""
"LBSTRESN","""Numeric Result/Finding in Standard Units"""
"LBSTRESU","""Standard Units"""
"LBTEST","""Lab Test or Examination Name"""
"LBTESTCD","""Lab Test or Examination Short Name"""
"LBTPT","""Planned Time Point Name"""
"LBTPTNUM","""Planned Time Point Number"""
"LBTPTREF","""Time Point Reference"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"MHBDSYCD","""Body System or Organ Class Code"""
"MHBODSYS","""Body System or Organ Class"""
"MHCAT","""Category for Medical History"""
"MHDECOD","""Dictionary-Derived Term"""
"MHDTC","""Date/Time of History Collection"""
"MHDY","""Study Day of History Collection"""
"MHENDTC","""End Date/Time of Medical History Event"""
"MHENDY","""Study Day of End of Observation"""
"MHENRTPT","""End Relative to Reference Time Point"""
"MHENTPT","""End Reference Time Point"""
"MHGRPID","""Group ID"""
"MHHLGT","""High Level Group Term"""
"MHHLGTCD","""High Level Group Term Code"""
"MHHLT","""High Level Term"""
"MHHLTCD","""High Level Term Code"""
"MHLLT","""Lowest Level Term"""
"MHLLTCD","""Lowest Level Term Code"""
"MHMODIFY","""Modified Reported Term"""
"MHOCCUR","""Medical History Occurrence"""
"MHPRESP","""Medical History Event Pre-Specified"""
"MHPTCD","""Preferred Term Code"""
"MHSEQ","""Sequence Number"""
"MHSOC","""Primary System Organ Class"""
"MHSOCCD","""Primary System Organ Class Code"""
"MHSPID","""Sponsor-Defined Identifier"""
"MHSTDTC","""Start Date/Time of Medical History Event"""
"MHSTDY","""Study Day of Start of Observation"""
"MHSTRTPT","""Start Relative to Reference Time Point"""
"MHSTTPT","""Start Reference Time Point"""
"MHTERM","""Reported Term for the Medical History"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"MLCAT","""Category for Meal"""
"MLCMPYN","""Did Subject complete the meal?"""
"MLDTC","""Date/Time of Collection"""
"MLDY","""Study Day of Visit/Collection/Exam"""
"MLENDTC","""End Date/Time of Meal"""
"MLENDY","""Study Day of End of Meal"""
"MLRFTDTC","""Date/Time of Reference Time Point"""
"MLSEQ","""Sequence Number"""
"MLSPID","""Sponsor-Defined Identifier"""
"MLSTDTC","""Start Date/Time of Meal"""
"MLSTDY","""Study Day of Start of Meal"""
"MLTPT","""Planned Time Point Name"""
"MLTPTNUM","""Planned Time Point Number"""
"MLTPTREF","""Time Point Reference"""
"MLTRT","""Reported Name of Meal"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"PCANLDTC","""Date/Time of Specimen or Sample Analysis"""
"PCCAT","""Test Category"""
"PCDTC","""Date/Time of Specimen Collection"""
"PCDTCA","""Actual Date/Time of Specimen Collection"""
"PCDY","""Actual Study Day of Specimen Collection"""
"PCDYA","""Actual Study Day of Specimen Collection"""
"PCELTM","""Planned Elapsed Time from Time Point Ref"""
"PCENDTC","""End Date/Time of Specimen Collection"""
"PCENDTCA","""Actual End Date/Time of Specimen Collection Actual"""
"PCENDY","""Study Day of End of Observation"""
"PCENDYA","""Actual Study Day of End of Observation"""
"PCLLOQ","""Lower Limit of Quantitation"""
"PCMETHOD","""Method of Test or Examination"""
"PCNAM","""Vendor Name"""
"PCORRES","""Result or Finding in Original Units"""
"PCORRESU","""Original Units"""
"PCREASND","""Reason Test Not Done"""
"PCREFID","""Reference ID"""
"PCRFTDTC","""Date/Time of Reference Point"""
"PCSEQ","""Sequence Number"""
"PCSMPLID","""Alternate Sample Identifier"""
"PCSPCCND","""Specimen Condition"""
"PCSPEC","""Specimen Material Type"""
"PCSPID","""Sponsor-Defined Identifier"""
"PCSTAT","""Completion Status"""
"PCSTRESC","""Character Result/Finding in Std Format"""
"PCSTRESN","""Numeric Result/Finding in Standard Units"""
"PCSTRESU","""Standard Units"""
"PCTEST","""Pharmacokinetic Test Name"""
"PCTESTCD","""Pharmacokinetic Test Short Name"""
"PCTPT","""Planned Time Point Name"""
"PCTPTNUM","""Planned Time Point Number"""
"PCTPTREF","""Time Point Reference"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"PPCAT","""Parameter Category"""
"PPENINT","""Planned End of Assessment Interval"""
"PPFAST","""Fasting Status"""
"PPGRPID","""Group ID"""
"PPORRES","""Result or Finding in Original Units"""
"PPORRESU","""Original Units"""
"PPREASND","""Reason Parameter Not Calculated"""
"PPRFTDTC","""Date/Time of Reference Point"""
"PPSEQ","""Sequence Number"""
"PPSPEC","""Specimen Material Type"""
"PPSPID","""Sponsor-Defined Identifier"""
"PPSTAT","""Completion Status"""
"PPSTINT","""Planned Start of Assessment Interval"""
"PPSTRESC","""Character Result/Finding in Std Format"""
"PPSTRESN","""Numeric Result/Finding in Standard Units"""
"PPSTRESU","""Standard Units"""
"PPTEST","""Parameter Name"""
"PPTESTCD","""Parameter Short Name"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"PRCAT","""Category"""
"PRENDTC","""End Date/Time of Procedure"""
"PRENDY","""Study Day of End of Procedure"""
"PRGRPID","""Group ID"""
"PROCCUR","""Occurrence"""
"PRPRESP","""Pre-specified"""
"PRSEQ","""Sequence Number"""
"PRSPID","""Sponsor-Defined Identifier"""
"PRSTDTC","""Start Date/Time of Procedure"""
"PRSTDY","""Study Day of Start of Procedure"""
"PRTRT","""Reported Name of Procedure"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"QSBLFL","""Baseline Flag"""
"QSCAT","""Category of Question"""
"QSDTC","""Date/Time of Finding"""
"QSDY","""Study Day of Finding"""
"QSEVINTX","""Evaluation Interval Text"""
"QSEVLINT","""Evaluation Interval"""
"QSORRES","""Finding in Original Units"""
"QSORRESU","""Original Units"""
"QSREASND","""Reason Not Performed"""
"QSSCAT","""Subcategory for Question"""
"QSSEQ","""Sequence Number"""
"QSSPID","""Sponsor-Defined Identifier"""
"QSSTAT","""Completion Status"""
"QSSTRESC","""Character Result/Finding in Std Format"""
"QSSTRESN","""Numeric Finding in Standard Units"""
"QSSTRESU","""Standard Units"""
"QSTEST","""Question Name"""
"QSTESTCD","""Question Short Name"""
"QSTSTDTL","""Measurement, Test or Examination Detail"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"SCCAT","""Category for Subject Characteristic"""
"SCDTC","""Date/Time of Collection"""
"SCDY","""Study Day of Examination"""
"SCORRES","""Result or Finding in Original Units"""
"SCSEQ","""Sequence Number"""
"SCSPID","""Sponsor-Defined Identifier"""
"SCSTAT","""Completion Status"""
"SCSTRESC","""Character Result/Finding in Std Format"""
"SCTEST","""Subject Characteristic"""
"SCTESTCD","""Subject Characteristic Short Name"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"DOMAIN","""Domain Abbreviation"""
"ELEMENT","""Description of Element"""
"EPOCH","""Epoch"""
"ETCD","""Element Code"""
"SEENDTC","""End Date/Time of Element"""
"SEENDY","""Study Day of End of Observation"""
"SESEQ","""Sequence Number"""
"SESTDTC","""Start Date/Time of Element"""
"SESTDY","""Study Day of Start of Observation"""
"SEUPDES","""Description of Unplanned Element"""
"STUDYID","""Study Identifier"""
"TAETORD","""Planned Order of Element within Arm"""
"USUBJID","""Unique Subject Identifier"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"SUCAT","""Category for Substance Use"""
"SUDTC","""Date/Time of Collection"""
"SUDY","""Study Day of Visit/Collection/Exam"""
"SUOCCUR","""SU Occurrence"""
"SUPRESP","""SU Pre-Specified"""
"SUSEQ","""Sequence Number"""
"SUSPID","""Sponsor-Defined Identifier"""
"SUTRT","""Reported Name of Substance"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"SVENDTC","""End Date/Time of Visit"""
"SVENDY","""Study Day of End of Visit"""
"SVSTDTC","""Start Date/Time of Visit"""
"SVSTDY","""Study Day of Start of Visit"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"ARM","""Description of Planned Arm"""
"ARMCD","""Planned Arm Code"""
"DOMAIN","""Domain Abbreviation"""
"ELEMENT","""Description of Element"""
"EPOCH","""Epoch"""
"ETCD","""Element Code"""
"STUDYID","""Study Identifier"""
"TABRANCH","""Branch"""
"TAETORD","""Planned Order of Element within Arm"""
"TATRANS","""Transition Rule"""
"DOMAIN","""Domain Abbreviation"""
"ELEMENT","""Description of Element"""
"ETCD","""Element Code"""
"STUDYID","""Study Identifier"""
"TEDUR","""Planned Duration of Element"""
"TEENRL","""Rule for End of Element"""
"TESTRL","""Rule for Start of Element"""
"DOMAIN","""Domain Abbreviation"""
"IECAT","""Inclusion/Exclusion Category"""
"IETEST","""Inclusion/Exclusion Criterion"""
"IETESTCD","""Incl/Excl Criterion Short Name"""
"STUDYID","""Study Identifier"""
"TIVERS","""Protocol Criteria Versions"""
"DOMAIN","""Domain Abbreviation"""
"STUDYID","""Study Identifier"""
"TSGRPID","""Group ID"""
"TSPARM","""Trial Summary Parameter"""
"TSPARMCD","""Trial Summary Parameter Short Name"""
"TSSEQ","""Sequence Number"""
"TSVAL","""Parameter Value"""
"TSVALCD","""Parameter Value Code"""
"TSVALNF","""Parameter Null Flavor"""
"TSVCDREF","""Name of the Reference Terminology"""
"TSVCDVER","""Version of the Reference Terminology"""
"ARM","""Description of Planned Arm"""
"ARMCD","""Planned Arm Code"""
"DOMAIN","""Domain Abbreviation"""
"STUDYID","""Study Identifier"""
"TVENRL","""Visit End Rule"""
"TVSTRL","""Visit Start Rule"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"VSBLFL","""Baseline Flag"""
"VSCAT","""Category for Vital Signs"""
"VSDTC","""Date/Time of Measurements"""
"VSDY","""Study Day of Vital Signs"""
"VSELTM","""Planned Elapsed Time from Time Point Ref"""
"VSMETHOD","""Method of Test or Examination"""
"VSORRES","""Result or Finding in Original Units"""
"VSORRESU","""Original Units"""
"VSPOS","""Vital Signs Position of Subject"""
"VSRFTDTC","""Date/Time of Reference Time Point"""
"VSSEQ","""Sequence Number"""
"VSSPID","""Sponsor-Defined Identifier"""
"VSSTAT","""Completion Status"""
"VSSTRESC","""Character Result/Finding in Std Format"""
"VSSTRESN","""Numeric Result/Finding in Standard Units"""
"VSSTRESU","""Standard Units"""
"VSTEST","""Vital Signs Test Name"""
"VSTESTCD","""Vital Signs Test Short Name"""
"VSTPT","""Planned Time Point Name"""
"VSTPTNUM","""Planned Time Point Number"""
"VSTPTREF","""Time Point Reference"""
"DOMAIN","""Domain Abbreviation"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"YICAT","""Category"""
"YICNTRY","""Center Country"""
"YICRTN","""Clinical Research Task Number"""
"YICSTATE","""Center State"""
"YICTCITY","""Center City"""
"YICTCNAM","""Center Name"""
"YICTCNUM","""Center Number"""
"YICTINAM","""Center Investigator Name"""
"YICTINUM","""Center Investigator Number"""
"YICTZIP","""Center Postal Zip Code"""
"YIIADDR1","""Investigator Address Line 1"""
"YIIADDR2","""Investigator Address Line 2"""
"YIIADDR3","""Investigator Address Line 3"""
"YIICITY","""Investigator City"""
"YIICNTRY","""Investigator Country"""
"YIIEMAIL","""Investigator Email ID"""
"YIIFAX","""Investigator Fax Number"""
"YIIMNAM","""Investigator Middle Name"""
"YIINUM","""Investigator Contact Number"""
"YIINUMTP","""Investigator Contact Type"""
"YIINVID","""Investigator Identifier"""
"YIINVZIP","""Investigator Postal Zip Code"""
"YIISTATE","""Investigator State"""
"YISEQ","""Sequence Number"""
"YISITEID","""Site Identifier"""
"YITERM","""Reported Term for Event"""
"AEACN","""Action Taken with Study Treatment"""
"AEACN1","""Action Taken with RO7223280"""
"AEACN2","""Action Taken with Iohexol"""
"AEACNOT1","""Other Action Taken 1"""
"AEACNOT2","""Other Action Taken 2"""
"AEACNOTH","""Other Action Taken"""
"AEBDSYCD","""Body System or Organ Class Code"""
"AEBODSYS","""Body System or Organ Class"""
"AECAT","""Category for Adverse Event"""
"AECONTRT","""Concomitant or Additional Trtmnt Given"""
"AEDECOD","""Dictionary-Derived Term"""
"AEDLEYN","""Dose Limiting Adverse Event"""
"AEDTHDTC","""Death Date"""
"AEENDTC","""End Date/Time of Adverse Event"""
"AEENDY","""Study Day of End of Adverse Event"""
"AEENRTPT","""End Relative to Reference Time Point"""
"AEENTPT","""End Reference Time Point"""
"AEEXP","""Expedited Adverse Event"""
"AEGRPID","""Group ID"""
"AEHLGT","""High Level Group Term"""
"AEHLGTCD","""High Level Group Term Code"""
"AEHLT","""High Level Term"""
"AEHLTCD","""High Level Term Code"""
"AEITOXGR","""Initial Toxicity Grade"""
"AELLT","""Lowest Level Term"""
"AELLTCD","""Lowest Level Term Code"""
"AEMODIFY","""Modified Reported Term"""
"AEOCCRF","""Event Occurrence Reference Time Point"""
"AEOUT","""Outcome of Adverse Event"""
"AEPATT","""Pattern of Adverse Event"""
"AEPTCD","""Preferred Term Code"""
"AEREFID","""Reference ID"""
"AEREL","""Causality"""
"AEREL1","""Causality: RO7223280"""
"AEREL2","""Causality: Iohexol"""
"AERELNS1","""Relationship to Non-Study Treatment 1"""
"AERELNS2","""Relationship to Non-Study Treatment 2"""
"AERELNS3","""Relationship to Non-Study Treatment 3"""
"AERELNS4","""Relationship to Non-Study Treatment 4"""
"AERELNS5","""Relationship to Non-Study Treatment 5"""
"AERELNS6","""Relationship to Non-Study Treatment 6"""
"AERELNST","""Relationship to Non-Study Treatment"""
"AESCAT","""Subcategory for Adverse Event"""
"AESCONG","""Congenital Anomaly or Birth Defect"""
"AESDISAB","""Persist or Signif Disability/Incapacity"""
"AESDTH","""Results in Death"""
"AESEQ","""Sequence Number"""
"AESER","""Serious Event"""
"AESHOSP","""Requires or Prolongs Hospitalization"""
"AESLIFE","""Is Life Threatening"""
"AESMIE","""Other Medically Important Serious Event"""
"AESOC","""Primary System Organ Class"""
"AESOCCD","""Primary System Organ Class Code"""
"AESPID","""Sponsor-Defined Identifier"""
"AESTDTC","""Start Date/Time of Adverse Event"""
"AESTDY","""Study Day of Start of Adverse Event"""
"AESTRTPT","""Start Relative to Reference Time Point"""
"AESTTPT","""Start Reference Time Point"""
"AETERM","""Reported Term for the Adverse Event"""
"AETOXGR","""Standard Toxicity Grade"""
"AETRTEM","""Treatment Emergent Flag"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"BECAT","""Category for Biospecimen Event"""
"BEDECOD","""Dictionary-Derived Term"""
"BEDTC","""Date/Time of Specimen Collection"""
"BEDUR","""Duration of Biospecimen Event"""
"BEDY","""Study Day of Visit/Collection/Exam"""
"BEENDTC","""End Date/Time of Biospecimen Event"""
"BEENDY","""Study Day of End of Biospecimen Event"""
"BEOCCUR","""Occurrence"""
"BEPRESP","""Pre-specified"""
"BEREFID","""Reference ID"""
"BESCAT","""Subcategory for Biospecimen Event"""
"BESEQ","""Sequence Number"""
"BESPID","""Sponsor-Defined Identifier"""
"BESPPURP","""Specimen Intended Purpose"""
"BESTDTC","""Start Date/Time of Biospecimen Event"""
"BESTDY","""Study Day of Start of Biospecimen Event"""
"BETERM","""Reported Term for the Biospecimen Event"""
"BETPT","""Planned Time Point Name"""
"BETPTNUM","""Planned Time Point Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"BSBLFL","""Baseline Flag"""
"BSCAT","""Category for Biospecimen Test"""
"BSDTC","""Date/Time of Specimen Collection"""
"BSDY","""Study Day of Specimen Collection"""
"BSELTM","""Planned Elapsed Time from Time Point Ref"""
"BSORRES","""Result or Finding in Original Units"""
"BSORRESU","""Original Units"""
"BSREFID","""Reference ID"""
"BSRFTDTC","""Date/Time of Reference Time Point"""
"BSSCAT","""Subcategory for Biospecimen Test"""
"BSSEQ","""Sequence Number"""
"BSSPEC","""Specimen Type"""
"BSSPID","""Sponsor-Defined Identifier"""
"BSSTRESC","""Character Result/Finding in Std Format"""
"BSSTRESN","""Numeric Result/Finding in Standard Units"""
"BSSTRESU","""Standard Units"""
"BSTEST","""Biospecimen Test Name"""
"BSTESTCD","""Biospecimen Test Short Name"""
"BSTPT","""Planned Time Point Name"""
"BSTPTNUM","""Planned Time Point Number"""
"BSTPTREF","""Time Point Reference"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"CEBDSYCD","""Body System or Organ Class Code"""
"CEBODSYS","""Body System or Organ Class"""
"CECAT","""Category for Clinical Event"""
"CECONTRT","""Concomitant or Additional Trtmnt Given"""
"CEDECOD","""Dictionary-Derived Term"""
"CEDIR","""Directionality"""
"CEDTC","""Date/Time of Event Collection"""
"CEDY","""Study Day of Event Collection"""
"CEENDTC","""End Date/Time of Clinical Event"""
"CEENDY","""Study Day of End of Observation"""
"CEENRF","""End Relative to Reference Period"""
"CEENRTPT","""End Relative to Reference Time Point"""
"CEENTPT","""End Reference Time Point"""
"CEGRPID","""Group ID"""
"CEHLGT","""High Level Group Term"""
"CEHLGTCD","""High Level Group Term Code"""
"CEHLT","""High Level Term"""
"CEHLTCD","""High Level Term Code"""
"CEITOXGR","""Initial Toxicity Grade"""
"CELAT","""Laterality"""
"CELLT","""Lowest Level Term"""
"CELLTCD","""Lowest Level Term Code"""
"CELOC","""Location of Event"""
"CELOCOTH","""Other Location, Specify"""
